Student Name,College Shift,Enrollment No.,Course,Primary Email ID,Mobile Number,Student JIMS Email Id,Gender,Date of Birth (DD/MM/YYYY Format Only),LinkedIn Profile Link,GitHub Profile Link,Technical Skills,10th Board Name,10th passing Year,10th %,12th Board Name,12th Passing Year,12th %,12th Stream,Graduation College/ Institute Name,Graduation Stream,Graduation Passing Year,Graduation %,Sem 1 SGPA,Sem 2 SGPA,Sem 3 SGPA,Sem 4 SGPA,Sem 5 SGPA,Sem 6 SGPA,Any Gap,"Reason of Gap ( if no gap , write NA)",Open to Pan India Location,Fathers Name,Father Occupation,Fathers Email ID,Father Mobile No.,Mothers Name,Mothers Mobile Number,Mothers Email ID,Any previous work Experience,Internship /Project Details ( otherwise write NA),What you have done,Any Previous campus selection/ offer in Graduation.,Current Placement Status,Placed Company Name
Tushar Singh,Morning,00235003121,BBA,tusharsingh1@gmail.com,9332181960,tusharsingh@jimsindia.org,Male,07/02/2000,linkedin.com/in/tusharsingh,github.com/tusharsingh,Sales|CRM|Excel,ICSE,2016,84.9,CBSE,2018,84.9,Humanities,JIMS,BBA,2024,72.4,7.2,7.4,7.5,7.4,7.4,7.5,No,NA,Yes,Suresh Singh,Government Service,sureshsingh1@gmail.com,8594078161,Seema Singh,8495931034,seemasingh1@gmail.com,Yes,HR Internship,Organized College Fest Campaign,No,Applied,NA
Mehak Bansal,Evening,00235003122,MCA,mehakbansal2@gmail.com,9192832764,mehakbansal@jimsindia.org,Female,11/11/2001,linkedin.com/in/mehakbansal,github.com/mehakbansal,Java|Spring Boot|MySQL,State Board,2017,75.0,CBSE,2019,71.3,Science,JIMS,MCA,2025,86.9,8.9,8.9,9.0,9.0,9.0,9.0,No,NA,Yes,Pradeep Bansal,Shop Owner,pradeepbansal2@gmail.com,8965328710,Vandana Bansal,8122691669,vandanabansal2@gmail.com,Yes,Cloud Internship,Developed Microservices Backend,Yes,Unplaced,NA
Abhishek Bhardwaj,Evening,00235003123,BCA,abhishekbhardwaj3@gmail.com,9627048281,abhishekbhardwaj@jimsindia.org,Male,17/11/2002,linkedin.com/in/abhishekbhardwaj,github.com/abhishekbhardwaj,Python|Django|SQL,State Board,2017,92.8,State Board,2019,95,Science,JIMS,BCA,2023,86.4,8.6,8.5,8.7,8.8,8.8,8.7,No,NA,Yes,Rajiv Bhardwaj,Consultant,rajivbhardwaj3@gmail.com,8182278248,Vandana Bhardwaj,8963834657,vandanabhardwaj3@gmail.com,Yes,Web Development Internship at Startup,Created Student Portal,No,Unplaced,NA
Palak Arora,Morning,00235003124,BCA,palakarora4@gmail.com,9031051834,palakarora@jimsindia.org,Female,18/04/2003,linkedin.com/in/palakarora,github.com/palakarora,JavaScript|Node.js|MongoDB,CBSE,2019,73.0,ICSE,2021,68.1,Commerce,JIMS,BCA,2022,76.6,7.6,7.7,7.9,7.8,7.8,7.8,Yes,Family responsibilities,Yes,Vijay Arora,Consultant,vijayarora4@gmail.com,8262473178,Kavita Arora,8080132677,kavitaarora4@gmail.com,No,NA,Built REST API Project,Yes,Unplaced,NA
Ayush Malhotra,Evening,00235003125,MCA,ayushmalhotra5@gmail.com,9872343098,ayushmalhotra@jimsindia.org,Male,11/12/2000,linkedin.com/in/ayushmalhotra,github.com/ayushmalhotra,Java|Spring Boot|MySQL,ICSE,2016,91.9,CBSE,2018,91.7,Science,JIMS,MCA,2025,69.1,6.9,6.8,6.9,6.9,7.1,7.2,No,NA,Yes,Suresh Malhotra,Shop Owner,sureshmalhotra5@gmail.com,8998543534,Suman Malhotra,8247510799,sumanmalhotra5@gmail.com,Yes,Software Development Internship,Developed Microservices Backend,No,Unplaced,NA
Mehak Malhotra,Morning,00235003126,MCA,mehakmalhotra6@gmail.com,9849808412,mehakmalhotra@jimsindia.org,Female,04/02/2002,linkedin.com/in/mehakmalhotra,github.com/mehakmalhotra,React|Node.js|MongoDB,CBSE,2018,86.7,ICSE,2020,82.9,Science,JIMS,MCA,2026,80.7,8.0,8.2,8.1,8.1,8.0,7.9,No,NA,Yes,Sunil Malhotra,Manager,sunilmalhotra6@gmail.com,8786801128,Sunita Malhotra,8598262045,sunitamalhotra6@gmail.com,Yes,Software Development Internship,Created ERP Module,No,Unplaced,NA
Manav Sethi,Morning,00235003127,BBA,manavsethi7@gmail.com,9322602563,manavsethi@jimsindia.org,Male,26/03/2002,linkedin.com/in/manavsethi,github.com/manavsethi,Marketing|SEO|Excel,State Board,2019,73.2,State Board,2021,77.3,Commerce,JIMS,BBA,2022,75.0,7.7,7.8,7.8,7.8,7.7,7.8,No,NA,Yes,Sanjay Sethi,Sales Executive,sanjaysethi7@gmail.com,8501429401,Preeti Sethi,8655698169,preetisethi7@gmail.com,No,NA,Organized College Fest Campaign,No,Unplaced,NA
Mehak Tiwari,Morning,00235003128,BBA,mehaktiwari8@gmail.com,9595148465,mehaktiwari@jimsindia.org,Female,10/12/2003,linkedin.com/in/mehaktiwari,github.com/mehaktiwari,HR|Management|Communication,ICSE,2017,85.6,ICSE,2019,89.5,Commerce,JIMS,BBA,2023,80.3,7.8,7.7,7.7,7.8,7.9,7.9,No,NA,Yes,Ashok Tiwari,Manager,ashoktiwari8@gmail.com,8148951343,Ritu Tiwari,8320037917,ritutiwari8@gmail.com,No,NA,Managed Social Media Campaign,No,Shortlisted,NA
Rohit Bhardwaj,Morning,00235003129,BBA,rohitbhardwaj9@gmail.com,9163287083,rohitbhardwaj@jimsindia.org,Male,05/08/2000,linkedin.com/in/rohitbhardwaj,github.com/rohitbhardwaj,Operations|Leadership|MS Office,State Board,2018,91.2,State Board,2020,89.9,Commerce,JIMS,BBA,2024,86.1,8.5,8.5,8.7,8.8,8.7,8.9,No,NA,Yes,Ashok Bhardwaj,Teacher,ashokbhardwaj9@gmail.com,8434558122,Neelam Bhardwaj,8623166587,neelambhardwaj9@gmail.com,No,NA,Prepared Market Research Report,No,Applied,NA
Prachi Chawla,Evening,00235003130,MCA,prachichawla10@gmail.com,9546688937,prachichawla@jimsindia.org,Female,14/05/2001,linkedin.com/in/prachichawla,github.com/prachichawla,Power BI|SQL|Excel,CBSE,2016,85.7,CBSE,2018,84.1,Science,JIMS,MCA,2025,71.3,7.0,6.9,6.9,6.9,6.8,6.9,No,NA,Yes,Rajesh Chawla,Engineer,rajeshchawla10@gmail.com,8653755646,Rekha Chawla,8170805310,rekhachawla10@gmail.com,Yes,Data Analyst Internship,Developed ML Prediction Model,No,Shortlisted,NA
Lakshya Singh,Morning,00235003131,MCA,lakshyasingh11@gmail.com,9452991241,lakshyasingh@jimsindia.org,Male,19/05/2000,linkedin.com/in/lakshyasingh,github.com/lakshyasingh,Java|Microservices|Docker,ICSE,2019,83.4,CBSE,2021,86.5,Science,JIMS,MCA,2024,72.9,7.4,7.5,7.6,7.7,7.5,7.6,No,NA,Yes,Sanjay Singh,Government Service,sanjaysingh11@gmail.com,8067165726,Poonam Singh,8849877694,poonamsingh11@gmail.com,No,NA,Developed ML Prediction Model,No,Unplaced,NA
